Date,PM2.5
2014-11-13,8.8
2014-11-10,10.2
2014-11-07,3.5
2014-11-04,12.3
2014-11-01,3.6
2014-10-29,9.1
2014-10-26,4.7
2014-10-23,3.7
2014-10-20,6.2
2014-10-17,4.4
2014-10-14,3.8
2014-10-11,6.8
2014-10-08,4.6
2014-10-05,4.3
2014-10-02,6.9
2014-09-29,12.7
2014-09-26,6.1
2014-09-23,4.6
2014-09-20,7.4
2014-09-17,6
2014-09-14,3.9
2014-09-11,6.7
2014-09-08,4.7
2014-09-05,9.8
2014-09-02,8.9
2015-11-29,5.8
2015-11-26,7.3
2015-11-23,3.9
2015-11-20,2.3
2015-11-17,6
2015-11-14,2.9
2015-11-11,3.8
2015-11-08,4.4
2015-11-05,8.9
2015-11-02,7
2015-10-30,3.6
2015-10-27,4.3
2015-10-24,3.5
2015-10-21,11.8
2015-10-18,3
2015-10-15,4.4
2015-10-12,7.2
2015-10-09,9.7
2015-10-06,4.6
2015-10-03,1
2015-09-30,1.8
2015-09-27,4.4
2015-09-24,5.7
2015-09-21,3.7
2015-09-18,10.1
2015-09-15,7
2015-09-12,7.3
2015-09-09,6.1
2015-09-06,4
2015-09-03,17.7
