Date,PM2.5
2011-10-31,16.8
2011-10-30,5.7
2011-10-29,3
2011-10-28,3.1
2011-10-27,13.9
2011-10-26,12.8
2011-10-25,7.9
2011-10-24,13.3
2011-10-23,16
2011-10-22,10.9
2011-10-21,3.6
2011-10-19,5.3
2011-10-18,11.1
2011-10-16,4.5
2011-10-15,3.7
2011-10-14,5.8
2011-10-13,5.5
2011-10-12,5
2011-10-09,12.5
2011-10-08,11.3
2011-10-07,9.7
2011-10-05,6.6
2011-10-04,5.2
2011-10-03,3.3
2011-10-02,1.5
2011-10-01,2.4
2011-09-30,7.9
2011-09-29,9.6
2011-09-28,8.5
2011-09-27,9.4
2011-09-26,9.8
2011-09-25,9.4
2011-09-24,7.6
2011-09-23,7.3
2011-09-22,9.1
2011-09-21,8
2011-09-20,7.1
2011-09-19,5.3
2011-09-18,3.9
2011-09-16,3.3
2011-09-15,8.2
2011-09-14,16
2011-09-13,15
2011-09-12,11.9
2011-09-11,12.3
2011-09-10,7.6
2012-11-29,16.2
2012-11-28,11.2
2012-11-27,13.2
2012-11-21,17.7
2012-11-20,14.4
2012-11-19,8.3
2012-11-18,11.2
2012-11-17,8.8
2012-11-16,12.7
2012-11-15,9.4
2012-11-14,8.3
2012-11-13,4.9
2012-11-12,10.9
2012-11-11,18
2012-11-10,20.8
2012-11-09,8.3
2012-11-08,4.7
2012-11-07,6.9
2012-11-06,5.3
2012-11-05,5.5
2012-11-04,5.1
2012-11-03,2.5
2012-11-02,4.5
2012-11-01,2.2
2012-10-31,3
2012-10-30,1.6
2012-10-29,1
2012-10-27,5.2
2012-10-26,7.7
2012-10-25,17.9
2012-10-24,20
2012-10-23,15.7
2012-10-22,10.2
2012-10-21,5.2
2012-10-20,6.2
2012-10-19,7.4
2012-10-17,10.6
2012-10-16,6.2
2012-10-15,6.9
2012-10-14,6.6
2012-10-13,3.6
2012-10-12,5.5
2012-10-09,5.5
2012-10-08,5.2
2012-10-07,6.3
2012-10-06,10.1
2012-10-05,13.8
2012-10-04,12.9
2012-10-02,9.4
2012-10-01,7.8
2012-09-30,7.1
2012-09-29,4.9
2012-09-28,9.4
2012-09-27,9.3
2012-09-26,12.6
2012-09-25,7.3
2012-09-22,8.8
2012-09-20,5.6
2012-09-19,3.4
2012-09-18,3
2012-09-17,12.3
2012-09-16,8.3
2012-09-15,4.7
2012-09-14,9.2
2012-09-13,9.8
2012-09-12,9.6
2012-09-09,4.7
2012-09-08,7.6
2012-09-07,10.9
2012-09-06,7.8
2012-09-05,10
2012-09-04,11.4
2012-09-03,11.3
2012-09-02,15.7
2012-09-01,15.2
2013-11-30,11.7
2013-11-29,13.6
2013-11-28,5.4
2013-11-27,3.7
2013-11-26,8.1
2013-11-25,5.2
2013-11-24,1.6
2013-11-23,3.9
2013-11-22,13.9
2013-11-21,11.6
2013-11-20,4.8
2013-11-19,3.8
2013-11-18,3.2
2013-11-17,15.2
2013-11-16,27.7
2013-11-15,21.8
2013-11-13,3.6
2013-11-10,6.7
2013-11-09,7.8
2013-11-08,5.5
2013-11-07,5.7
2013-11-06,4.9
2013-11-05,6.4
2013-11-04,3.8
2013-11-03,2
2013-11-02,6.5
2013-11-01,6.7
2013-10-31,21.7
2013-10-30,16.1
2013-10-29,11.3
2013-10-28,13.5
2013-10-27,7.8
2013-10-25,4.7
2013-10-24,3.5
2013-10-21,8.7
2013-10-20,5.1
2013-10-19,8.5
2013-10-18,6.2
2013-10-17,10.5
2013-10-16,8.1
2013-10-15,6.9
2013-10-14,6.5
2013-10-12,4.7
2013-10-10,2.7
2013-10-09,4.4
2013-10-08,4.3
2013-10-07,5.2
2013-10-06,18.3
2013-10-05,14.7
2013-10-04,19.9
2013-10-03,18.5
2013-10-02,10.7
2013-10-01,10.9
2013-09-30,8.6
2013-09-29,5.6
2013-09-28,4.4
2013-09-27,6.6
2013-09-26,7.6
2013-09-25,5.9
2013-09-24,4.6
2013-09-23,2.9
2013-09-22,2.9
2013-09-21,6
2013-09-20,8.4
2013-09-19,7.5
2013-09-18,5.4
2013-09-17,3
2013-09-16,7.1
2013-09-15,6.1
2013-09-11,16.7
2013-09-09,5.7
2013-09-08,11.1
2013-09-07,8.5
2013-09-06,4.3
2013-09-05,9.4
2014-11-30,14
2014-11-29,9.1
2014-11-28,5.1
2014-11-27,7.7
2014-11-26,7.3
2014-11-25,7.8
2014-11-24,8
2014-11-23,15.3
2014-11-22,14.3
2014-11-21,9.3
2014-11-20,9.2
2014-11-19,5.9
2014-11-18,5.5
2014-11-17,10.2
2014-11-16,12.5
2014-11-15,11.3
2014-11-14,8.8
2014-11-13,10.7
2014-11-12,10.1
2014-11-11,21.1
2014-11-10,17.7
2014-11-09,11.4
2014-11-08,5.6
2014-11-06,18.9
2014-11-05,15.7
2014-11-04,17.9
2014-11-03,6.6
2014-11-02,2.1
2014-11-01,4
2014-10-30,5.7
2014-10-29,9.6
2014-10-28,15.3
2014-10-27,6.9
2014-10-26,4.6
2014-10-25,9
2014-10-24,4.9
2014-10-23,3.3
2014-10-22,5
2014-10-21,8.2
2014-10-20,6.8
2014-10-19,3
2014-10-18,4.7
2014-10-17,5.5
2014-10-16,8.1
2014-10-15,5.2
2014-10-14,5.7
2014-10-13,7.6
2014-10-12,6.2
2014-10-11,8
2014-10-10,6.8
2014-10-09,5.5
2014-10-08,5
2014-10-07,7.1
2014-10-06,6.7
2014-10-05,5.7
2014-10-04,3.8
2014-10-03,5.3
2014-10-02,5.6
2014-10-01,7.2
2014-09-30,10.6
2014-09-29,14
2014-09-28,12.1
2014-09-27,8.5
2014-09-26,7.4
2014-09-25,3.3
2014-09-24,5.8
2014-09-23,4.6
2014-09-22,2.8
2014-09-21,10.7
2014-09-20,9.5
2014-09-15,8
2014-09-14,3.8
2014-09-13,6.1
2014-09-12,4
2014-09-11,6.6
2014-09-10,6.3
2014-09-09,5.6
2014-09-08,5
2014-09-07,3.8
2014-09-06,9.5
2014-09-05,11.8
2014-09-04,12.3
2014-09-03,9.8
2014-09-02,10
2014-09-01,6.9
2015-11-30,6.5
2015-11-29,6.2
2015-11-28,15.3
2015-11-27,18.8
2015-11-26,15.9
2015-11-25,15.2
2015-11-24,12.1
2015-11-23,4.4
2015-11-22,4
2015-11-21,5.5
2015-11-20,3.7
2015-11-19,4.6
2015-11-18,4.4
2015-11-17,6.8
2015-11-16,8.4
2015-11-15,6.2
2015-11-14,3.2
2015-11-13,4.4
