Date,Fe,Pb,Al,Yr
2016-10-09,0.007,0,0.015,16
2018-11-28,0.023,0,0.015,18
2011-09-18,0.032,0,0.015,11
2012-09-21,0.0559,0,0.015,12
2014-10-20,0.128,0,0.015,14
2019-10-27,0.028,0.001,0.015,19
2019-10-30,0.037,0.002,0.015,19
2015-09-24,0.083,0.003,0.015,15
2020-11-20,0.115,0.006,0.0154,20
2017-11-30,0.054,0,0.016,17
2019-10-24,0.127,0,0.016,19
2016-10-21,0.033,0.003,0.016,16
2011-11-23,0.0489,0.0032,0.016,11
2018-10-23,0.059,0.006,0.016,18
2015-10-21,0.214,0.01,0.016,15
2017-10-22,0.091,0.011,0.016,17
2020-09-03,0.062,0,0.0162,20
2015-09-27,0.0194,0,0.017,15
2017-09-01,0.037,0.002,0.017,17
2011-09-15,0.0796,0.002,0.017,11
2017-11-09,0.059,0.003,0.017,17
2012-11-20,0.0875,0.004,0.018,12
2013-09-25,0.0924,0.004,0.018,13
2014-11-10,0.151,0.006,0.018,14
2016-11-17,0.14,0,0.019,16
2017-09-28,0.047,0.002,0.019,17
2018-09-02,0.012,0.003,0.019,18
2013-09-16,0.0422,0.006,0.02,13
2017-11-27,0.084,0.014,0.02,17
2016-09-09,0.075,0.003,0.021,16
2011-11-08,0.424,0.0205,0.021,11
2017-09-04,0.059,0,0.022,17
2016-09-30,0.09,0.003,0.022,16
2019-11-14,0.113,0.003,0.022,19
2013-10-28,0.107,0.004,0.022,13
2019-09-06,0.05,0,0.023,19
2016-09-24,0.093,0.005,0.023,16
2017-09-10,0.027,0,0.024,17
2016-09-27,0.069,0,0.024,16
2012-10-06,0.0447,0.004,0.024,12
2011-11-20,0.0887,0.0083,0.024,11
2016-11-14,0.207,0.023,0.024,16
2018-11-25,0.046,0,0.025,18
2012-10-03,0.0901,0,0.025,12
2013-10-04,0.149,0.003,0.025,13
2015-11-08,0.07,0.003,0.026,15
2018-11-07,0.09,0.008,0.026,18
2017-09-13,0.115,0,0.027,17
2019-09-03,0.028,0,0.027,19
2012-09-03,0.0334,0,0.027,12
2018-09-11,0.023,0.004,0.027,18
2011-10-06,0.115,0.0048,0.027,11
2014-09-29,0.266,0.009,0.027,14
2011-09-12,0.133,0,0.028,11
2015-09-03,0.127,0.001,0.028,15
2017-11-15,0.036,0.003,0.028,17
2017-10-31,0.049,0,0.029,17
2015-10-09,0.0978,0,0.029,15
2017-11-18,0.115,0.007,0.03,17
2013-11-15,0.287,0.007,0.03,13
2015-09-09,0.0367,0,0.031,15
2015-11-23,0.064,0.001,0.031,15
2015-09-15,0.136,0.001,0.033,15
2016-11-26,0.058,0.002,0.033,16
2014-11-04,0.188,0.002,0.033,14
2016-11-29,0.153,0,0.034,16
2018-09-20,0.047,0,0.034,18
2015-09-18,0.118,0.004,0.034,15
2014-11-16,0.0303,0.003,0.035,14
2017-10-07,0.049,0.003,0.035,17
2016-10-15,0.084,0.009,0.035,16
2011-10-27,0.174,0.0082,0.036,11
2016-11-20,0.032,0.003,0.037,16
2013-11-21,0.0918,0.003,0.038,13
2011-10-09,0.223,0.0072,0.038,11
2016-11-05,0.097,0.011,0.038,16
2017-10-19,0.165,0.004,0.039,17
2018-10-02,0.056,0.004,0.04,18
2016-09-15,0.046,0,0.041,16
2014-10-29,0.12,0.001,0.041,14
2011-10-18,0.12,0,0.042,11
2016-10-30,0.082,0.005,0.042,16
2016-09-21,0.071,0.007,0.042,16
2015-11-05,0.141,0,0.043,15
2016-11-11,0.068,0.006,0.043,16
2019-10-12,0.065,0.002,0.046,19
2017-09-22,0.1,0.001,0.047,17
2018-11-01,0.121,0,0.048,18
2016-10-18,0.183,0.001,0.052,16
2011-09-30,0.118,0,0.053,11
2016-09-12,0.047,0,0.055,16
2014-09-05,0.0897,0,0.055,14
2016-09-18,0.04,0,0.058,16
2012-09-27,0.0528,0.001,0.06,12
2019-10-15,0.112,0,0.064,19
2015-10-15,0.121,0,0.067,15
2012-10-24,0.157,0,0.069,12
2019-11-29,0.05,0.002,0.077,19
2016-11-08,0.235,0,0.079,16
2015-11-14,0.092,0,0.088,15
2019-09-27,0.077,0.003,0.1,19
2019-09-21,0.134,0.008,0.107,19
2018-09-05,0.434,0.003,0.131,18
2017-09-25,0.552,0.002,0.158,17
2013-11-03,0.0431,0,0.183,13
2014-09-02,0.209,0,0.229,14
2019-11-11,0.122,0.01,0.486,19
2017-09-19,0.358,0,0.643,17
2019-11-02,NA,NA,NA,19
2019-11-05,NA,NA,NA,19
2018-11-13,NA,NA,NA,18
2018-11-16,NA,NA,NA,18
2017-11-06,NA,NA,NA,17
2016-10-12,NA,NA,NA,16
2016-11-23,NA,NA,NA,16
2015-10-24,NA,NA,NA,15
2015-10-27,NA,NA,NA,15
2014-11-28,NA,NA,NA,14
2013-09-01,NA,NA,NA,13
2013-09-04,NA,NA,NA,13
2013-10-19,NA,NA,NA,13
2013-11-09,NA,NA,NA,13
2013-11-30,NA,NA,NA,13
2012-10-30,NA,NA,NA,12
2012-11-23,NA,NA,NA,12
2011-11-26,NA,NA,NA,11
