Neighborhood,Code,Square,Weight,mg.ml,ppb,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day,Area,Density,AADT_max,AADT_sum,AADT_mean,AADT_median,NB,Eastalco_dist_m,Gd_dist_m,Ngc_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Prince_dist_m,Sd_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m
CB,6362,6,25.42,8.473333333,8473333.333,554,0.006539,0.000272458,65390,2725,BLQ,NA,NA,NA,949,0.0111997,0.000466654,111997,4667,530,0.0062574,0.000260725,62574,2607,66,0.000782331,7823.307966,325.9711652,604.788,0.049604158,7840,13160,6580,6580,CB,5786518.605,12142333.06,11910743.64,13872979.96,4907448.373,4027585.722,10378226.76,6650686.734,11620062.72,5859469.878
CB,6372,6,3.85,1.283333333,1283333.333,62,0.0048661,0.000202754,48661,2028,BLQ,NA,NA,NA,50,0.0038892,0.00016205,38892,1621,14,0.0010772,4.49E-05,10772,449,BLQ,NA,NA,NA,604.788,0.049604158,7840,13160,6580,6580,CB,5786518.605,12142333.06,11910743.64,13872979.96,4907448.373,4027585.722,10378226.76,6650686.734,11620062.72,5859469.878
BK,7092,7,0.83,0.276666667,276666.6667,62,0.0224948,0.000833141,224948,8331,BLQ,NA,NA,NA,23,0.0084174,0.000311756,84174,3118,11,0.0041521,0.000153781,41521,1538,BLQ,NA,NA,NA,194.292,7.040948675,2921,4822,2411,2411,BK,13809253,2200674.918,7017347.394,4168443.212,13988949.12,13481335.93,1766375.561,4165201.843,2922868.784,10709458.49
BK,7102,7,0.49,0.163333333,163333.3333,110,0.0672641,0.002491263,672641,24913,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,81,0.0494817,0.001832656,494817,18327,57,0.034830222,348302.218,12900.08215,194.292,7.040948675,2921,4822,2411,2411,BK,13809253,2200674.918,7017347.394,4168443.212,13988949.12,13481335.93,1766375.561,4165201.843,2922868.784,10709458.49
BK,7112,7,0.34,0.113333333,113333.3333,43,0.0382414,0.001416348,382414,14163,BLQ,NA,NA,NA,201,0.1776101,0.006578152,1776101,65782,7,0.0060221,0.000223041,60221,2230,BLQ,NA,NA,NA,194.292,7.040948675,2921,4822,2411,2411,BK,13809253,2200674.918,7017347.394,4168443.212,13988949.12,13481335.93,1766375.561,4165201.843,2922868.784,10709458.49
BK,8022,8,0.18,0.06,60000,39,0.0655461,0.002427633,655461,24276,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,194.292,7.040948675,11232,14714,4904.666667,2921,BK,8355812.266,12962356.74,13725582.91,8918229.842,12929439.88,10101988.6,14458066.81,15898416.37,13850397.79,9268920.319
CB,9442,9,10.61,3.536666667,3536666.667,159,0.0045062,0.000187758,45062,1878,BLQ,NA,NA,NA,96,0.002706,0.00011275,27060,1127,93,0.0026416,0.000110067,26416,1101,BLQ,NA,NA,NA,194.292,7.040949,11232,14123,7061.5,7061.5,CB,10410970.65,12596014.71,7634652.535,16456356.19,3812365.711,9387291.291,12395444.71,12383369.11,11518141.52,13119525.38
CB,9452,9,8.52,2.84,2840000,309,0.0108726,0.000453025,108726,4530,BLQ,NA,NA,NA,222,0.0078183,0.000325763,78183,3258,175,0.0061767,0.000257363,61767,2574,BLQ,NA,NA,NA,194.292,7.040949,11232,14123,7061.5,7061.5,CB,10410970.65,12596014.71,7634652.535,16456356.19,3812365.711,9387291.291,12395444.71,12383369.11,11518141.52,13119525.38
CB,9462,9,10.83,3.61,3610000,356,0.0098654,0.000411058,98654,4111,BLQ,NA,NA,NA,197,0.0054592,0.000227467,54592,2275,153,0.0042358,0.000176492,42358,1765,BLQ,NA,NA,NA,194.292,7.040949,11232,14123,7061.5,7061.5,CB,10410970.65,12596014.71,7634652.535,16456356.19,3812365.711,9387291.291,12395444.71,12383369.11,11518141.52,13119525.38
CB,9472,9,2.21,0.736666667,736666.6667,108,0.0146399,0.000609996,146399,6100,BLQ,NA,NA,NA,54,0.0073335,0.000305563,73335,3056,131,0.0177691,0.000740379,177691,7404,BLQ,NA,NA,NA,194.292,7.040949,11232,14123,7061.5,7061.5,CB,10410970.65,12596014.71,7634652.535,16456356.19,3812365.711,9387291.291,12395444.71,12383369.11,11518141.52,13119525.38
CB,9482,9,2.41,0.803333333,803333.3333,100,0.0124055,0.000516896,124055,5169,BLQ,NA,NA,NA,69,0.0086108,0.000358783,86108,3588,213,0.0264732,0.00110305,264732,11031,BLQ,NA,NA,NA,194.292,7.040949,11232,14123,7061.5,7061.5,CB,10410970.65,12596014.71,7634652.535,16456356.19,3812365.711,9387291.291,12395444.71,12383369.11,11518141.52,13119525.38
