,tablepb.comparisons,tablepb.Z,tablepb.P.adjusted
61,15 - 23,-1.526998408,0.063380704
83,14 - 31,1.526998408,0.063380704
176,14 - 55,1.519950851,0.064261664
219,20 - 57,-1.506059724,0.066025921
300,59 - 6,1.500384758,0.066757383
452,41 - 9,1.498545021,0.066995852
204,31 - 56,1.494857323,0.067475841
338,Mar-70,-1.490197858,0.06808611
71,14 - 3,1.489231713,0.068213181
384,15 - 72,1.48121926,0.069274078
414,19 - 73,-1.46932656,0.070872118
33,14 - 20,1.466179005,0.071299763
14,13 - 15,-1.466179005,0.071299763
272,43 - 59,-1.466057754,0.071316277
279,6-Dec,-1.456577904,0.072616465
393,32 - 72,1.456577904,0.072616465
353,Oct-71,-1.453839976,0.072995339
241,21 - 58,-1.451102047,0.073375723
106,Jan-33,1.446304856,0.074045857
95,13 - 32,-1.444670266,0.074275263
311,22 - 7,-1.437412405,0.075300423
429,58 - 73,-1.424643884,0.077130084
260,18 - 59,-1.423722763,0.077263371
183,23 - 55,1.419576738,0.077865471
235,13 - 58,-1.409647632,0.079321877
38,21-Oct,1.407295193,0.079669937
77,22 - 3,-1.403378,0.080252075
196,15 - 56,1.39448321,0.081585868
90,23 - 31,1.394215938,0.081626203
401,58 - 72,1.385391766,0.082966354
432,Jul-73,-1.379915909,0.083806269
333,19 - 70,-1.378513638,0.08402238
205,32 - 56,1.372974471,0.084880142
64,20 - 23,-1.365804892,0.086000105
326,Jan-70,-1.363488339,0.086364329
156,Dec-43,-1.361339343,0.086703238
316,33 - 7,-1.357305736,0.087342043
78,23 - 3,1.350544946,0.088420623
252,56 - 58,-1.349662627,0.088562113
128,19 - 41,-1.341584912,0.089865311
5,13-Oct,1.329956994,0.091766221
380,Oct-72,1.325157341,0.092559485
366,32 - 71,-1.322419413,0.093014264
118,Mar-33,1.316029647,0.094082046
248,41 - 58,1.308448256,0.095360657
462,70 - 9,1.303253914,0.096244045
211,Jan-57,-1.30266499,0.09634458
357,15 - 71,-1.297778057,0.097181806
31,20-Dec,-1.286826344,0.099077411
348,58 - 70,-1.28566074,0.099280744
371,55 - 71,-1.281350487,0.100035294
317,41 - 7,1.273136702,0.101484769
255,Oct-59,-1.262184988,0.103441115
192,Oct-56,1.2582612,0.104148654
7,14-Jan,-1.242464543,0.107032607
89,22 - 31,-1.242464543,0.107032607
174,Dec-55,-1.237543633,0.107942663
360,20 - 71,-1.232067776,0.108961884
351,Jul-70,-1.22079066,0.111082646
139,Dec-42,-1.204261726,0.114244217
457,57 - 9,1.193696816,0.116298293
365,31 - 71,-1.182785065,0.118447171
286,21 - 6,-1.169095423,0.121182594
218,19 - 57,-1.152357971,0.124587002
119,31 - 33,1.149118927,0.125253472
440,14 - 9,1.138135459,0.127531962
453,42 - 9,-1.135638658,0.128053911
26,14 - 19,1.133502354,0.128501677
364,Mar-71,-1.131088113,0.129009003
268,32 - 59,-1.130764425,0.129077128
273,55 - 59,-1.128026497,0.129654364
280,13 - 6,-1.122039189,0.130922889
51,15 - 22,1.109682073,0.133568025
56,23-Jan,-1.109682073,0.133568025
259,15 - 59,-1.10612307,0.134336627
403,Jun-72,1.086957571,0.138527781
163,21 - 43,-1.086453514,0.138639198
102,22 - 32,-1.081228686,0.1397977
262,20 - 59,-1.078743786,0.14035098
253,57 - 58,1.065261756,0.143378747
242,22 - 58,-1.057512974,0.145138768
45,20 - 21,1.056840359,0.145292226
63,19 - 23,-1.056840359,0.145292226
157,13 - 43,-1.056286954,0.145418567
297,56 - 6,-1.050343395,0.14678013
32,13 - 20,-1.049737598,0.146919386
108,Dec-33,-1.046256505,0.147721311
137,Jan-42,1.037276255,0.149803564
236,14 - 58,1.036004236,0.150100083
318,42 - 7,-1.021004507,0.153626152
111,15 - 33,1.01043216,0.156144143
397,43 - 72,1.007914706,0.156747706
181,21 - 55,-1.007557648,0.156833435
447,23 - 9,1.005352989,0.157363454
175,13 - 55,-1.004748844,0.157508901
24,19-Dec,-1.004338415,0.157607762
322,57 - 7,0.9967714,0.159437742
267,31 - 59,-0.991130078,0.160811034
387,20 - 72,0.991130078,0.160811034
199,20 - 56,0.989752593,0.161147531
209,43 - 56,0.987022236,0.161815869
359,19 - 71,-0.987022236,0.161815869
442,18 - 9,-0.982232389,0.162992687
120,32 - 33,0.980713567,0.163367006
460,9-Jun,-0.976899603,0.164309429
247,33 - 58,-0.973428846,0.165170104
305,14 - 7,0.961012865,0.16827285
454,43 - 9,-0.956797925,0.16933463
210,55 - 56,0.944763839,0.172389729
18,18-Dec,-0.941847366,0.173135395
398,55 - 72,0.941847366,0.173135395
352,Jan-71,-0.93637151,0.174540971
243,23 - 58,0.935630123,0.17473183
266,Mar-59,-0.933147693,0.175371859
47,22-Oct,0.929477292,0.176320894
146,21 - 42,-0.929375897,0.176347157
307,18 - 7,-0.919943939,0.178801028
140,13 - 42,-0.917757517,0.179372914
16,18-Jan,0.903367015,0.18316557
149,Mar-42,0.898307587,0.184510794
