Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
18,0.763333333,0.000736864,0.000376859,0.000133582,12.34156104,1722,2403,1201.5,4328107.898,3783590.305,14531693.18,4238492.445,5146827.655,8640725.846,9243258.342,11835916.35,3867917.002,11776828.8
56,0.82,0.000768936,0.000313982,0.000138177,16.00025,19812,27203,13601.5,19250156.65,15902899.01,5559188.323,13675735.59,18263602.07,6904032.005,14773182.76,3998311.631,17514239.65,3767705.011
33,2.576666667,0.000302238,0.000242329,0.000141688,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
7,0.276666667,0.000833141,0.000311756,0.000153781,7.040948675,2921,4822,2411,2200674.918,4168443.212,13988949.12,4165201.843,2922868.784,10709458.49,7017347.394,13481335.93,1766375.561,13809253
22,1.72,0.000349413,0.000198592,0.000153804,14.49246351,2891,2891,2891,3762576.701,8293267.692,10399242.9,6536318.31,2650366.925,14980657.25,1888947.084,14925834.06,3763802.094,16692963.63
31,3.046666667,0.00034385,0.000217282,0.000162527,23.11399401,2971,2971,2971,8240461.73,12716765.03,5572540.976,6232096.922,7174069.193,11848831.62,5758208.815,9911088.704,7070849.791,11751390.44
33,2.686666667,0.000653646,0.000247125,0.00016305,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
3,2.136666667,0.000311579,0.000266704,0.000163608,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
42,0.733333333,0.000419277,0.000352086,0.000164164,54.44636004,15830,17731,8865.5,6508472.757,4465082.905,14432502.75,5199348.263,7364307.153,6604493.522,11461674,10097472.65,6046176.707,9716330.811
33,10.08,0.000265383,0.000138704,0.000169292,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
3,7.633333333,0.000365396,0.000280042,0.000176121,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
9,3.61,0.000411058,0.000227467,0.000176492,7.040949,11232,14123,7061.5,12596014.71,16456356.19,3812365.711,12383369.11,11518141.52,13119525.38,7634652.535,9387291.291,12395444.71,10410970.65
32,4.59,0.000381304,0.000261213,0.000176738,26.34280272,2971,3532,1766,1360672.898,3285260.308,15073655.29,5994542.236,2502727.251,12118851.02,6261869.806,15269945.66,2581780.249,15247532.96
58,0.303333333,0.00084395,0.000402018,0.000180368,10.26783045,15830,15830,15830,17343381.18,12831734.68,8838100.75,15518014.76,18303143.06,7112964.724,15909473.3,6094413.392,18262927.75,4712486.6
22,1.616666667,0.000547708,0.000244146,0.000181254,14.49246351,2891,2891,2891,3762576.701,8293267.692,10399242.9,6536318.31,2650366.925,14980657.25,1888947.084,14925834.06,3763802.094,16692963.63
1,4.476666667,0.000465938,0.000424754,0.000182917,0.049604158,12970,12970,12970,8563819.815,5179829.397,16597002.01,13069308.25,9422406.153,11685275.92,10302787.69,14080557,10172178.03,12240100.31
18,0.9,0.000810523,0.000403673,0.000192359,12.34156104,1722,2403,1201.5,4328107.898,3783590.305,14531693.18,4238492.445,5146827.655,8640725.846,9243258.342,11835916.35,3867917.002,11776828.8
22,3.843333333,0.000531258,0.000261963,0.0001952,14.49246351,2891,2891,2891,3762576.701,8293267.692,10399242.9,6536318.31,2650366.925,14980657.25,1888947.084,14925834.06,3763802.094,16692963.63
19,0.666666667,0.000858886,0.000489032,0.000196073,12.34156104,1901,2582,1291,17082216.78,17837297.33,3351484.854,12283317.22,16035589.38,7605298.901,13082367.18,3955803.941,15584750.4,4749217.17
10,7.073333333,0.0004161,0.000296867,0.000207988,7.040948675,11232,24392,8130.666667,11142253.83,9712341.413,11838019.28,16819798.49,11334557.75,13932351.43,9248073.262,13316756.94,12862194.63,12096164.19
6,3.98,0.000414158,0.000274842,0.000210796,0.049604158,7840,13160,6580,12142333.06,13872979.96,4907448.373,6650686.734,11620062.72,5859469.878,11910743.64,4027585.722,10378226.76,5786518.605
10,6.943333333,0.00030575,0.000217288,0.000212404,7.040948675,11232,24392,8130.666667,11142253.83,9712341.413,11838019.28,16819798.49,11334557.75,13932351.43,9248073.262,13316756.94,12862194.63,12096164.19
3,4.856666667,0.000864525,0.000457383,0.000214146,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
1,4.666666667,0.000424125,0.000392033,0.000217546,0.049604158,12970,12970,12970,8563819.815,5179829.397,16597002.01,13069308.25,9422406.153,11685275.92,10302787.69,14080557,10172178.03,12240100.31
43,0.25,0.001625164,0.000958527,0.000217586,23.11399401,15830,17321,8660.5,16895054.3,12265360.09,9233399.8,14445347.94,18034916.91,5998602.684,17082899.8,5492063.363,17227533.12,3888635.673
7,0.113333333,0.001416348,0.006578152,0.000223041,7.040948675,2921,4822,2411,2200674.918,4168443.212,13988949.12,4165201.843,2922868.784,10709458.49,7017347.394,13481335.93,1766375.561,13809253
33,3.82,0.000432667,0.000242896,0.000239113,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
59,4.733333333,0.000230409,0.000167082,0.000244627,13.52894734,15830,18672,6224,17421975.81,12966414.22,8350264.936,13550540.8,18450026.91,5234003.622,17452145.86,4284631.052,16991679.11,2749324.902
15,6.836666667,0.000457417,0.000403246,0.000248396,7.040948675,7840,13160,6580,11313858.29,10354611.69,8980151.213,6193949.009,11568140.38,2414759.591,14404649.26,4362652.167,9895693.597,4799384.517
