"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2017-10-19,7.1,"17","HU","17-10","10",0.399,0,0.045,"17","10","17-10",0.633802816901408,5.61971830985916,0
2017-10-16,2.6,"17","HU","17-10","10",0.369,0,0.086,"17","10","17-10",3.30769230769231,14.1923076923077,0
2017-10-13,4.5,"17","HU","17-10","10",0.037,0,0,"17","10","17-10",0,0.822222222222222,0
2017-10-10,5.2,"17","HU","17-10","10",0.085,0.004,0.024,"17","10","17-10",0.461538461538462,1.63461538461538,0.0769230769230769
2017-10-07,5.5,"17","HU","17-10","10",0.052,0,0.012,"17","10","17-10",0.218181818181818,0.945454545454545,0
2017-10-04,6.6,"17","HU","17-10","10",0.213,0,0,"17","10","17-10",0,3.22727272727273,0
2017-10-01,2.8,"17","HU","17-10","10",0.021,0,0.025,"17","10","17-10",0.892857142857143,0.75,0
2017-09-28,6.7,"17","HU","17-09","09",0.094,0,0,"17","09","17-09",0,1.40298507462687,0
2017-09-25,11,"17","HU","17-09","09",NA,NA,NA,"17","09","17-09",NA,NA,NA
2017-09-22,8.8,"17","HU","17-09","09",NA,NA,NA,"17","09","17-09",NA,NA,NA
2017-09-19,8,"17","HU","17-09","09",0.391,0,0.676,"17","09","17-09",8.45,4.8875,0
2017-09-16,11.4,"17","HU","17-09","09",0.104,0,0,"17","09","17-09",0,0.912280701754386,0
2017-09-13,6,"17","HU","17-09","09",0.065,0.001,0.037,"17","09","17-09",0.616666666666667,1.08333333333333,0.0166666666666667
2017-09-10,3.3,"17","HU","17-09","09",0.014,0,0.028,"17","09","17-09",0.848484848484849,0.424242424242424,0
2017-09-07,4.3,"17","HU","17-09","09",0.148,0,0,"17","09","17-09",0,3.44186046511628,0
2017-09-04,11,"17","HU","17-09","09",0.027,0,0.037,"17","09","17-09",0.336363636363636,0.245454545454545,0
2017-09-01,5.1,"17","HU","17-09","09",0.03,0,0.017,"17","09","17-09",0.333333333333333,0.588235294117647,0
2017-11-30,6.2,"17","HU","17-11","11",0.259,0,0.026,"17","11","17-11",0.419354838709677,4.17741935483871,0
