"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2017-09-28,5.8,"17","ES","17-09","09",0.047,0.002,0.019,"17","09","17-09",0.327586206896552,0.810344827586207,0.0344827586206897
2017-09-25,10.3,"17","ES","17-09","09",0.552,0.002,0.158,"17","09","17-09",1.53398058252427,5.35922330097087,0.0194174757281553
2017-09-22,9.7,"17","ES","17-09","09",0.1,0.001,0.047,"17","09","17-09",0.484536082474227,1.03092783505155,0.0103092783505155
2017-09-19,11.4,"17","ES","17-09","09",0.358,0,0.643,"17","09","17-09",5.64035087719298,3.14035087719298,0
2017-09-16,10.5,"17","ES","17-09","09",0.08,0.009,0,"17","09","17-09",0,0.761904761904762,0.0857142857142857
2017-09-13,8.2,"17","ES","17-09","09",0.115,0,0.027,"17","09","17-09",0.329268292682927,1.40243902439024,0
2017-09-10,4.1,"17","ES","17-09","09",0.027,0,0.024,"17","09","17-09",0.585365853658537,0.658536585365854,0
2017-09-07,4.5,"17","ES","17-09","09",0.052,0,0,"17","09","17-09",0,1.15555555555556,0
2017-09-04,11.2,"17","ES","17-09","09",0.059,0,0.022,"17","09","17-09",0.196428571428571,0.526785714285714,0
2017-09-01,6.6,"17","ES","17-09","09",0.037,0.002,0.017,"17","09","17-09",0.257575757575758,0.560606060606061,0.0303030303030303
2018-11-28,3.8,"18","ES","18-11","11",0.023,0,0.015,"18","11","18-11",0.394736842105263,0.605263157894737,0
2018-11-22,7.8,"18","ES","18-11","11",0.04,0.02,0,"18","11","18-11",0,0.512820512820513,0.256410256410256
2018-11-10,3.4,"18","ES","18-11","11",0.022,0.004,0,"18","11","18-11",0,0.647058823529412,0.117647058823529
2018-11-04,6.4,"18","ES","18-11","11",0.034,0.008,0,"18","11","18-11",0,0.53125,0.125
2018-10-29,3.1,"18","ES","18-10","10",0.033,0.004,0.006,"18","10","18-10",0.193548387096774,1.06451612903226,0.129032258064516
2018-10-23,5.5,"18","ES","18-10","10",0.059,0.006,0.016,"18","10","18-10",0.290909090909091,1.07272727272727,0.109090909090909
2018-10-17,4.3,"18","ES","18-10","10",0.052,0,0.009,"18","10","18-10",0.209302325581395,1.2093023255814,0
2018-10-11,4,"18","ES","18-10","10",0.042,0.003,0,"18","10","18-10",0,1.05,0.075
2018-10-05,4.6,"18","ES","18-10","10",0.037,0.002,0.005,"18","10","18-10",0.108695652173913,0.804347826086957,0.0434782608695652
2018-09-29,8.2,"18","ES","18-09","09",0.089,0,0,"18","09","18-09",0,1.08536585365854,0
2018-09-23,3.4,"18","ES","18-09","09",0.033,0,0.008,"18","09","18-09",0.235294117647059,0.970588235294118,0
2018-09-17,4.1,"18","ES","18-09","09",0.009,0.007,0,"18","09","18-09",0,0.219512195121951,0.170731707317073
2018-09-11,4.1,"18","ES","18-09","09",0.023,0.004,0.027,"18","09","18-09",0.658536585365854,0.560975609756098,0.0975609756097561
2018-09-05,13,"18","ES","18-09","09",0.434,0.003,0.131,"18","09","18-09",1.00769230769231,3.33846153846154,0.0230769230769231
2019-11-29,3.5,"19","ES","19-11","11",0.05,0.002,0.077,"19","11","19-11",2.2,1.42857142857143,0.0571428571428571
2019-11-23,4.7,"19","ES","19-11","11",0.024,0.004,0.01,"19","11","19-11",0.212765957446809,0.51063829787234,0.0851063829787234
2019-11-17,4.5,"19","ES","19-11","11",0.02,0.006,0,"19","11","19-11",0,0.444444444444444,0.133333333333333
2019-11-11,17,"19","ES","19-11","11",0.122,0.01,0.486,"19","11","19-11",2.85882352941176,0.717647058823529,0.0588235294117647
2019-11-05,9.5,"19","ES","19-11","11",NA,NA,NA,"19","11","19-11",NA,NA,NA
2019-10-30,5.9,"19","ES","19-10","10",0.037,0.002,0.015,"19","10","19-10",0.254237288135593,0.627118644067796,0.0338983050847458
2019-10-24,6.7,"19","ES","19-10","10",0.127,0,0.016,"19","10","19-10",0.238805970149254,1.8955223880597,0
2019-10-18,2.9,"19","ES","19-10","10",0.028,0,0.004,"19","10","19-10",0.137931034482759,0.96551724137931,0
2019-10-12,6.3,"19","ES","19-10","10",0.065,0.002,0.046,"19","10","19-10",0.73015873015873,1.03174603174603,0.0317460317460317
2019-10-06,4,"19","ES","19-10","10",0.014,0,0,"19","10","19-10",0,0.35,0
2019-09-30,4.2,"19","ES","19-09","09",0.021,0.007,0,"19","09","19-09",0,0.5,0.166666666666667
2019-09-24,3.6,"19","ES","19-09","09",0.027,0.002,0.011,"19","09","19-09",0.305555555555556,0.75,0.0555555555555556
2019-09-18,4.6,"19","ES","19-09","09",0.044,0.007,0,"19","09","19-09",0,0.956521739130435,0.152173913043478
2019-09-12,8.5,"19","ES","19-09","09",0.073,0.001,0.012,"19","09","19-09",0.141176470588235,0.858823529411765,0.0117647058823529
2019-09-06,5.4,"19","ES","19-09","09",0.05,0,0.023,"19","09","19-09",0.425925925925926,0.925925925925926,0
2020-11-29,12.3,"20","ES","20-11","11",0.049,0.004,0.01446,"20","11","20-11",0.117560975609756,0.398373983739837,0.032520325203252
